policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.0,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,23,0.9174775417650605,0.44,0.0,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
fixed_risk_0.010,0.13333333333333333,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,63,10,0.18952588293294262,0.9466666666666667,0.5066666666666667,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
two_stage_0.10,0.16,0.14509197037825197,0.0029843020570531247,0.0,0.057717810433482175,0.8933333333333333,0.10666666666666667,6,57,12,0.7414280776958452,0.6933333333333334,0.25333333333333335,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
two_stage_0.25,0.16,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,61,12,0.3636144998385486,0.8933333333333333,0.4533333333333333,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
two_stage_1.00,0.14666666666666667,0.143177124248676,0.0010694559274771617,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,1,63,11,0.15286935115005693,0.96,0.52,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.56,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.6933333333333334,0,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
direct_loss,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.0,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,23,0.9174775417650605,0.44,0.0,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
fixed_risk_0.010,0.13333333333333333,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,63,10,0.18952588293294262,0.9466666666666667,0.5066666666666667,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
two_stage_0.10,0.16,0.14509197037825197,0.0029843020570531247,0.0,0.057717810433482175,0.8933333333333333,0.10666666666666667,6,57,12,0.7414280776958452,0.6933333333333334,0.25333333333333335,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
two_stage_0.25,0.16,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,61,12,0.3636144998385486,0.8933333333333333,0.4533333333333333,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
two_stage_1.00,0.14666666666666667,0.143177124248676,0.0010694559274771617,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,1,63,11,0.15286935115005693,0.96,0.52,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.56,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0,0,0,75,0.8830374409547586,0.5333333333333333,0.6933333333333334,1,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
direct_loss,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.0,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,23,0.9174775417650605,0.44,0.0,2,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
fixed_risk_0.010,0.13333333333333333,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,63,10,0.18952588293294262,0.9466666666666667,0.5066666666666667,2,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
two_stage_0.10,0.16,0.14509197037825197,0.0029843020570531247,0.0,0.057717810433482175,0.8933333333333333,0.10666666666666667,6,57,12,0.7414280776958452,0.6933333333333334,0.25333333333333335,2,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
two_stage_0.25,0.16,0.14315551039899127,0.001047842077792415,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,61,12,0.3636144998385486,0.8933333333333333,0.4533333333333333,2,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
two_stage_1.00,0.14666666666666667,0.143177124248676,0.0010694559274771617,0.0,0.057717810433482175,0.9466666666666667,0.05333333333333334,1,63,11,0.15286935115005693,0.96,0.52,2,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,1
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04,0,65,10,0.0,1.0,0.56,2,59263bd1f1b225eaac0059bec74cb623cffeabfaae8ed9ecfaaaf907bb3ffee1,249,174,75,0
